time_s,flux_mJy,flux_err_mJy,frequency_Hz,wavelength_AA,mag_AB_galcorr,mag_err,n_pix,flux_err_mJy_conservative
6683.439175686149,1.7969363059188495,0.24825592506411184,488181823807197.5,6141.0,15.76373391375885,0.15,56,0.4406882600335852
7498.942093324558,1.5752629839893706,0.21763062386875456,488181823807197.5,6141.0,15.906682952426566,0.15,33,0.3863241569681655
8413.951416451948,1.5623536342537792,0.21584713129306937,488181823807197.5,6141.0,15.915617267343299,0.15,12,0.3831582134372768
13335.21432163324,0.744978955838191,0.10292264629843727,488181823807197.5,6141.0,16.719705609849193,0.15,22,0.18270179011275195
14962.356560944298,0.7388738203882259,0.10207919066576933,488181823807197.5,6141.0,16.728639924765925,0.15,33,0.1812045408725577
26607.25059798803,0.2891781791514728,0.039951441872000566,488181823807197.5,6141.0,17.747151825273395,0.15,46,0.07091927977089804
29853.82618917945,0.16938436914003907,0.03926339635524268,488181823807197.5,6141.0,18.327882294860988,0.251674290615394,108,0.05214987172783306
33496.543915782655,0.1334244059741172,0.022788946342787032,488181823807197.5,6141.0,18.586977427446218,0.18544421413765982,205,0.03535889921223671
37583.740428844205,0.09289478531759573,0.013599831065420748,488181823807197.5,6141.0,18.980087283782435,0.15895218354656934,197,0.023222018160524317
42169.650342858055,0.06362091940433433,0.009314126225358509,488181823807197.5,6141.0,19.391065769952114,0.15895218354656407,181,0.01590408052234171
47315.125896147736,0.0480942612395646,0.00704101770447149,488181823807197.5,6141.0,19.69483247712101,0.15895218354656407,253,0.012022696474337067
53088.444423098575,0.035179662713938915,0.0051503156846998055,488181823807197.5,6141.0,20.034336443956832,0.15895218354656407,169,0.00879428014856996
94406.08762859149,0.014229243618976022,0.0019658426544980896,488181823807197.5,6141.0,21.017111084797374,0.15,38,0.0034896398895085394
118850.22274370068,0.01299782930792514,0.001795716480342572,488181823807197.5,6141.0,21.115388548881427,0.15,16,0.003187642635443388
133352.14321633131,0.011872982938647258,0.001640313211434109,488181823807197.5,6141.0,21.213666012965483,0.15,115,0.002911780554161276
149623.56560944175,0.009586122369776002,0.0013243717480957787,488181823807197.5,6141.0,21.44595820080052,0.15,12,0.0023509411956844257
211348.9039836626,0.009906902126084569,0.0016921031750246679,488181823807197.5,6141.0,21.410220941133588,0.18544421413765982,101,0.0026254353633747593
237137.37056616263,0.011679181074067587,0.0016135384943715728,488181823807197.5,6141.0,21.231534642798948,0.15,61,0.0028642517651821875
298538.26189179206,0.026813821529657635,0.003704466344423548,488181823807197.5,6141.0,20.329168836208996,0.15,100,0.00657593500439272
334965.4391578238,0.02573298012629388,0.003555142586226979,488181823807197.5,6141.0,20.373840410792656,0.15,15,0.006310864887075974
375837.40428843896,0.01677476073327504,0.0023175188401788585,488181823807197.5,6141.0,20.83842478646273,0.15,101,0.004113913273206764
421696.5034285771,0.014584884455305492,0.0020149762517896203,488181823807197.5,6141.0,20.990308140047176,0.15,74,0.003576858752438009
473151.25896147353,0.011116550263578516,0.0015358081753460951,488181823807197.5,6141.0,21.285140532299337,0.15,92,0.002726269805499465
530884.4442309814,0.009745192460184699,0.0013463480932307554,488181823807197.5,6141.0,21.428089570967053,0.15,12,0.0023899522174633796
595662.1435290012,0.009586122369776002,0.0013243717480957787,488181823807197.5,6141.0,21.44595820080052,0.15,17,0.0023509411956844257
668343.9175686053,0.009429648769253614,0.001302754121295181,488181823807197.5,6141.0,21.463826830633984,0.15,40,0.0023125669480673727
